"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"ASB6",TRUE
"ASB7",TRUE
"ASB8",TRUE
"ASB9",TRUE
"ASCC1",TRUE
"ASCC2",TRUE
"ASCC3",TRUE
"ASCL1",TRUE
"ASCL2",TRUE
"ASCL3",TRUE
"ASCL4",TRUE
"ASF1A",TRUE
"ASF1B",TRUE
"ASFMR1",TRUE
"ASGR1",TRUE
"ASGR2",TRUE
"ASH1L",TRUE
"ASH2L",TRUE
"ASIP",TRUE
"ASL",TRUE
"ASMT",TRUE
"ASMTL",TRUE
"ASNA1",TRUE
"ASNS",TRUE
"ASNSD1",TRUE
"ASPA",TRUE
"ASPG",TRUE
"ASPH",TRUE
"ASPHD1",TRUE
"ASPHD2",TRUE
"ASPM",TRUE
"ASPN",TRUE
"ASPRV1",TRUE
"ASPSCR1",TRUE
"ASRGL1",TRUE
"ASS1",TRUE
"ASTE1",TRUE
"ASTL",TRUE
"ASTN1",TRUE
"ASTN2",TRUE
"ASXL1",TRUE
"ASXL2",TRUE
"ASZ1",TRUE
"ATAD1",TRUE
"ATAD2",TRUE
"ATAD2B",TRUE
"ATAD3A",TRUE
"ATAD3B",TRUE
"ATAD3C",TRUE
"ATAD5",TRUE
"ATCAY",TRUE
"ATE1",TRUE
"ATF1",TRUE
"ATF2",TRUE
"ATF3",TRUE
"ATF4",TRUE
"ATF5",TRUE
"ATF6",TRUE
"ATF6B",TRUE
"ATF7",TRUE
"ATF7IP",TRUE
"ATF7IP2",TRUE
"ATG10",TRUE
"ATG12",TRUE
"ATG16L1",TRUE
"ATG16L2",TRUE
"ATG2A",TRUE
"ATG2B",TRUE
"ATG3",TRUE
"ATG4A",TRUE
"ATG4B",TRUE
"ATG4C",TRUE
"ATG4D",TRUE
"ATG5",TRUE
"ATG7",TRUE
"ATG9A",TRUE
"ATG9B",TRUE
"ATHL1",TRUE
"ATIC",TRUE
"ATL1",TRUE
"ATL2",TRUE
"ATL3",TRUE
"ATM",TRUE
"ATMIN",TRUE
"ATN1",TRUE
"ATOH1",TRUE
